"Polygon_Number","Coordinate_Order","Coordinate_ID","Longitude","Latitude"
"1",1,"1_1",-4.8,44
"1",2,"1_2",-4.75,44
"1",3,"1_3",-4.7,44
"1",4,"1_4",-4.7,44.025
"1",5,"1_5",-4.7,44.05
"1",6,"1_6",-4.675,44.05
"1",7,"1_7",-4.675,44.025
"1",8,"1_8",-4.675,44
"1",9,"1_9",-4.65,44
"1",10,"1_10",-4.6,44
"1",11,"1_11",-4.6,44.05
"1",12,"1_12",-4.55,44.05
"1",13,"1_13",-4.5,44.05
"1",14,"1_14",-4.5,44.1
"1",15,"1_15",-4.5,44.15
"1",16,"1_16",-4.525,44.15
"1",17,"1_17",-4.525,44.15
"1",18,"1_18",-4.55,44.15
"1",19,"1_19",-4.575,44.15
"1",20,"1_20",-4.6,44.15
"1",21,"1_21",-4.65,44.15
"1",22,"1_22",-4.7,44.15
"1",23,"1_23",-4.75,44.15
"1",24,"1_24",-4.775,44.15
"1",25,"1_25",-4.8,44.15
"1",26,"1_26",-4.825,44.15
"1",27,"1_27",-4.85,44.15
"1",28,"1_28",-4.875,44.15
"1",29,"1_29",-4.9,44.15
"1",30,"1_30",-4.925,44.15
"1",31,"1_31",-4.95,44.15
"1",32,"1_32",-4.975,44.15
"1",33,"1_33",-5,44.15
"1",34,"1_34",-5.025,44.15
"1",35,"1_35",-5.05,44.15
"1",36,"1_36",-5.075,44.15
"1",37,"1_37",-5.1,44.15
"1",38,"1_38",-5.125,44.15
"1",39,"1_39",-5.15,44.15
"1",40,"1_40",-5.175,44.15
"1",41,"1_41",-5.2,44.15
"1",42,"1_42",-5.2,44.1
"1",43,"1_43",-5.2,44.075
"1",44,"1_44",-5.2,44.05
"1",45,"1_45",-5.2,44.025
"1",46,"1_46",-5.2,44
"1",47,"1_47",-5.15,44
"1",48,"1_48",-5.1,44
"1",49,"1_49",-5.05,44
"1",50,"1_50",-5,44
"1",51,"1_51",-4.95,44
"1",52,"1_52",-4.9,44
"1",53,"1_53",-4.85,44
"1",54,"1_54",-4.8,44
"2",1,"2_1",-13.775,56.7
"2",2,"2_2",-13.775,56.7
"2",3,"2_3",-13.775,56.675
"2",4,"2_4",-13.75,56.675
"2",5,"2_5",-13.75,56.7
"2",6,"2_6",-13.775,56.7
"3a",1,"3a_1",-14.975,55.95
"3a",2,"3a_2",-14.975,55.95
"3a",3,"3a_3",-14.975,55.925
"3a",4,"3a_4",-14.95,55.925
"3a",5,"3a_5",-14.925,55.925
"3a",6,"3a_6",-14.9,55.925
"3a",7,"3a_7",-14.875,55.925
"3a",8,"3a_8",-14.875,55.9
"3a",9,"3a_9",-14.875,55.875
"3a",10,"3a_10",-14.875,55.85
"3a",11,"3a_11",-14.875,55.825
"3a",12,"3a_12",-14.85,55.825
"3a",13,"3a_13",-14.825,55.825
"3a",14,"3a_14",-14.8,55.825
"3a",15,"3a_15",-14.775,55.825
"3a",16,"3a_16",-14.775,55.85
"3a",17,"3a_17",-14.775,55.875
"3a",18,"3a_18",-14.75,55.875
"3a",19,"3a_19",-14.725,55.875
"3a",20,"3a_20",-14.725,55.9
"3a",21,"3a_21",-14.725,55.9
"3a",22,"3a_22",-14.75,55.9
"3a",23,"3a_23",-14.75,55.95
"3a",24,"3a_24",-14.725,55.95
"3a",25,"3a_25",-14.725,55.975
"3a",26,"3a_26",-14.725,56
"3a",27,"3a_27",-14.725,56.025
"3a",28,"3a_28",-14.725,56.05
"3a",29,"3a_29",-14.725,56.075
"3a",30,"3a_30",-14.7,56.075
"3a",31,"3a_31",-14.675,56.075
"3a",32,"3a_32",-14.675,56.05
"3a",33,"3a_33",-14.675,56.025
"3a",34,"3a_34",-14.65,56.025
"3a",35,"3a_35",-14.625,56.025
"3a",36,"3a_36",-14.6,56.025
"3a",37,"3a_37",-14.6,56.05
"3a",38,"3a_38",-14.575,56.05
"3a",39,"3a_39",-14.575,56.075
"3a",40,"3a_40",-14.575,56.1
"3a",41,"3a_41",-14.575,56.125
"3a",42,"3a_42",-14.6,56.125
"3a",43,"3a_43",-14.625,56.125
"3a",44,"3a_44",-14.65,56.125
"3a",45,"3a_45",-14.675,56.125
"3a",46,"3a_46",-14.675,56.15
"3a",47,"3a_47",-14.675,56.175
"3a",48,"3a_48",-14.7,56.175
"3a",49,"3a_49",-14.7,56.15
"3a",50,"3a_50",-14.75,56.15
"3a",51,"3a_51",-14.75,56.1
"3a",52,"3a_52",-14.8,56.1
"3a",53,"3a_53",-14.85,56.1
"3a",54,"3a_54",-14.85,56.05
"3a",55,"3a_55",-14.875,56.05
"3a",56,"3a_56",-14.875,56.05
"3a",57,"3a_57",-14.875,56.025
"3a",58,"3a_58",-14.9,56.025
"3a",59,"3a_59",-14.9,56
"3a",60,"3a_60",-14.9,55.95
"3a",61,"3a_61",-14.95,55.95
"3a",62,"3a_62",-14.975,55.95
"3b",1,"3b_1",-14.3,56.525
"3b",2,"3b_2",-14.3,56.525
"3b",3,"3b_3",-14.275,56.525
"3b",4,"3b_4",-14.25,56.525
"3b",5,"3b_5",-14.225,56.525
"3b",6,"3b_6",-14.225,56.55
"3b",7,"3b_7",-14.225,56.55
"3b",8,"3b_8",-14.25,56.55
"3b",9,"3b_9",-14.3,56.55
"3b",10,"3b_10",-14.3,56.525
"3c",1,"3c_1",-14.2,56.575
"3c",2,"3c_2",-14.175,56.575
"3c",3,"3c_3",-14.175,56.577
"3c",4,"3c_4",-14.2,56.577
"3c",5,"3c_5",-14.2,56.575
"3d",1,"3d_1",-14.15,56.625
"3d",2,"3d_2",-14.15,56.625
"3d",3,"3d_3",-14.125,56.625
"3d",4,"3d_4",-14.125,56.6
"3d",5,"3d_5",-14.125,56.575
"3d",6,"3d_6",-14.1,56.575
"3d",7,"3d_7",-14.075,56.575
"3d",8,"3d_8",-14.075,56.55
"3d",9,"3d_9",-14.075,56.525
"3d",10,"3d_10",-14.075,56.5
"3d",11,"3d_11",-14.075,56.475
"3d",12,"3d_12",-14.075,56.45
"3d",13,"3d_13",-14.05,56.45
"3d",14,"3d_14",-14.05,56.5
"3d",15,"3d_15",-14,56.5
"3d",16,"3d_16",-13.975,56.5
"3d",17,"3d_17",-13.975,56.525
"3d",18,"3d_18",-13.975,56.55
"3d",19,"3d_19",-13.975,56.575
"3d",20,"3d_20",-13.975,56.6
"3d",21,"3d_21",-13.975,56.625
"3d",22,"3d_22",-14,56.625
"3d",23,"3d_23",-14.025,56.625
"3d",24,"3d_24",-14.025,56.65
"3d",25,"3d_25",-14.025,56.667
"3d",26,"3d_26",-14.05,56.667
"3d",27,"3d_27",-14.05,56.65
"3d",28,"3d_28",-14.1,56.65
"3d",29,"3d_29",-14.15,56.65
"3d",30,"3d_30",-14.15,56.625
"3e",1,"3e_1",-14,56.675
"3e",2,"3e_2",-14,56.675
"3e",3,"3e_3",-13.975,56.675
"3e",4,"3e_4",-13.95,56.675
"3e",5,"3e_5",-13.925,56.675
"3e",6,"3e_6",-13.9,56.675
"3e",7,"3e_7",-13.875,56.675
"3e",8,"3e_8",-13.875,56.7
"3e",9,"3e_9",-13.875,56.7
"3e",10,"3e_10",-13.95,56.7
"3e",11,"3e_11",-14,56.7
"3e",12,"3e_12",-14,56.675
"3f",1,"3f_1",-15.216,55.85
"3f",2,"3f_2",-15.217,55.849
"3f",3,"3f_3",-15.218,55.847
"3f",4,"3f_4",-15.229,55.835
"3f",5,"3f_5",-15.23,55.833
"3f",6,"3f_6",-15.231,55.833
"3f",7,"3f_7",-15.232,55.831
"3f",8,"3f_8",-15.236,55.828
"3f",9,"3f_9",-15.237,55.827
"3f",10,"3f_10",-15.25,55.814
"3f",11,"3f_11",-15.251,55.812
"3f",12,"3f_12",-15.255,55.809
"3f",13,"3f_13",-15.256,55.808
"3f",14,"3f_14",-15.263,55.801
"3f",15,"3f_15",-15.264,55.8
"3f",16,"3f_16",-15.267,55.797
"3f",17,"3f_17",-15.268,55.796
"3f",18,"3f_18",-15.269,55.795
"3f",19,"3f_19",-15.275,55.789
"3f",20,"3f_20",-15.275,55.775
"3f",21,"3f_21",-15.25,55.775
"3f",22,"3f_22",-15.225,55.775
"3f",23,"3f_23",-15.2,55.775
"3f",24,"3f_24",-15.175,55.775
"3f",25,"3f_25",-15.175,55.8
"3f",26,"3f_26",-15.175,55.825
"3f",27,"3f_27",-15.15,55.825
"3f",28,"3f_28",-15.125,55.825
"3f",29,"3f_29",-15.1,55.825
"3f",30,"3f_30",-15.075,55.825
"3f",31,"3f_31",-15.075,55.85
"3f",32,"3f_32",-15.075,55.875
"3f",33,"3f_33",-15.075,55.9
"3f",34,"3f_34",-15.075,55.9
"3f",35,"3f_35",-15.1,55.9
"3f",36,"3f_36",-15.15,55.9
"3f",37,"3f_37",-15.172,55.9
"3f",38,"3f_38",-15.172,55.9
"3f",39,"3f_39",-15.175,55.897
"3f",40,"3f_40",-15.176,55.895
"3f",41,"3f_41",-15.181,55.889
"3f",42,"3f_42",-15.183,55.888
"3f",43,"3f_43",-15.185,55.885
"3f",44,"3f_44",-15.186,55.884
"3f",45,"3f_45",-15.189,55.881
"3f",46,"3f_46",-15.19,55.88
"3f",47,"3f_47",-15.191,55.878
"3f",48,"3f_48",-15.192,55.878
"3f",49,"3f_49",-15.2,55.868
"3f",50,"3f_50",-15.2,55.85
"3f",51,"3f_51",-15.216,55.85
"4",1,"4_1",-14.925,55.7
"4",2,"4_2",-14.925,55.725
"4",3,"4_3",-14.925,55.75
"4",4,"4_4",-14.925,55.775
"4",5,"4_5",-14.95,55.775
"4",6,"4_6",-14.975,55.775
"4",7,"4_7",-14.975,55.8
"4",8,"4_8",-14.975,55.825
"4",9,"4_9",-15,55.825
"4",10,"4_10",-15.025,55.825
"4",11,"4_11",-15.05,55.825
"4",12,"4_12",-15.075,55.825
"4",13,"4_13",-15.075,55.8
"4",14,"4_14",-15.075,55.775
"4",15,"4_15",-15.075,55.75
"4",16,"4_16",-15.075,55.725
"4",17,"4_17",-15.05,55.725
"4",18,"4_18",-15.025,55.725
"4",19,"4_19",-15.025,55.7
"4",20,"4_20",-15,55.7
"4",21,"4_21",-14.95,55.7
"4",22,"4_22",-14.925,55.7
"5",1,"5_1",-14.575,56.25
"5",2,"5_2",-14.575,56.25
"5",3,"5_3",-14.575,56.225
"5",4,"5_4",-14.55,56.225
"5",5,"5_5",-14.525,56.225
"5",6,"5_6",-14.5,56.225
"5",7,"5_7",-14.475,56.225
"5",8,"5_8",-14.475,56.25
"5",9,"5_9",-14.475,56.275
"5",10,"5_10",-14.475,56.3
"5",11,"5_11",-14.475,56.325
"5",12,"5_12",-14.45,56.325
"5",13,"5_13",-14.425,56.325
"5",14,"5_14",-14.425,56.35
"5",15,"5_15",-14.425,56.375
"5",16,"5_16",-14.425,56.4
"5",17,"5_17",-14.425,56.4
"5",18,"5_18",-14.45,56.4
"5",19,"5_19",-14.45,56.35
"5",20,"5_20",-14.5,56.35
"5",21,"5_21",-14.5,56.3
"5",22,"5_22",-14.55,56.3
"5",23,"5_23",-14.55,56.25
"5",24,"5_24",-14.575,56.25
"6",1,"6_1",-14.4,56.425
"6",2,"6_2",-14.375,56.425
"6",3,"6_3",-14.35,56.425
"6",4,"6_4",-14.325,56.425
"6",5,"6_5",-14.325,56.45
"6",6,"6_6",-14.325,56.475
"6",7,"6_7",-14.325,56.5
"6",8,"6_8",-14.325,56.5
"6",9,"6_9",-14.35,56.5
"6",10,"6_10",-14.35,56.45
"6",11,"6_11",-14.4,56.45
"6",12,"6_12",-14.4,56.425
"6",13,"6_13",-14.4,56.425
"7",1,"7_1",-14.775,55.75
"7",2,"7_2",-14.775,55.775
"7",3,"7_3",-14.8,55.775
"7",4,"7_4",-14.825,55.775
"7",5,"7_5",-14.85,55.775
"7",6,"7_6",-14.875,55.775
"7",7,"7_7",-14.875,55.75
"7",8,"7_8",-14.875,55.725
"7",9,"7_9",-14.875,55.7
"7",10,"7_10",-14.85,55.7
"7",11,"7_11",-14.85,55.75
"7",12,"7_12",-14.8,55.75
"7",13,"7_13",-14.775,55.75
"8",1,"8_1",-15.225,55.6
"8",2,"8_2",-15.225,55.625
"8",3,"8_3",-15.25,55.625
"8",4,"8_4",-15.275,55.625
"8",5,"8_5",-15.3,55.625
"8",6,"8_6",-15.3,55.65
"8",7,"8_7",-15.325,55.65
"8",8,"8_8",-15.35,55.65
"8",9,"8_9",-15.35,55.625
"8",10,"8_10",-15.35,55.6
"8",11,"8_11",-15.3,55.6
"8",12,"8_12",-15.25,55.6
"8",13,"8_13",-15.225,55.6
"9",1,"9_1",-15.125,55.65
"9",2,"9_2",-15.125,55.675
"9",3,"9_3",-15.125,55.7
"9",4,"9_4",-15.125,55.725
"9",5,"9_5",-15.15,55.725
"9",6,"9_6",-15.175,55.725
"9",7,"9_7",-15.2,55.725
"9",8,"9_8",-15.225,55.725
"9",9,"9_9",-15.225,55.7
"9",10,"9_10",-15.225,55.675
"9",11,"9_11",-15.225,55.65
"9",12,"9_12",-15.225,55.625
"9",13,"9_13",-15.2,55.625
"9",14,"9_14",-15.2,55.65
"9",15,"9_15",-15.15,55.65
"9",16,"9_16",-15.125,55.65
"10",1,"10_1",-15.375,55.6
"10",2,"10_2",-15.375,55.625
"10",3,"10_3",-15.4,55.625
"10",4,"10_4",-15.425,55.625
"10",5,"10_5",-15.426,55.625
"10",6,"10_6",-15.426,55.624
"10",7,"10_7",-15.428,55.622
"10",8,"10_8",-15.43,55.62
"10",9,"10_9",-15.431,55.618
"10",10,"10_10",-15.437,55.612
"10",11,"10_11",-15.438,55.611
"10",12,"10_12",-15.44,55.608
"10",13,"10_13",-15.442,55.606
"10",14,"10_14",-15.447,55.6
"10",15,"10_15",-15.4,55.6
"10",16,"10_16",-15.375,55.6
"11",1,"11_1",-15.45,55.596
"11",2,"11_2",-15.451,55.595
"11",3,"11_3",-15.452,55.594
"11",4,"11_4",-15.454,55.591
"11",5,"11_5",-15.455,55.59
"11",6,"11_6",-15.459,55.585
"11",7,"11_7",-15.461,55.583
"11",8,"11_8",-15.463,55.58
"11",9,"11_9",-15.464,55.579
"11",10,"11_10",-15.473,55.568
"11",11,"11_11",-15.474,55.567
"11",12,"11_12",-15.475,55.565
"11",13,"11_13",-15.475,55.55
"11",14,"11_14",-15.45,55.55
"11",15,"11_15",-15.45,55.596
"12",1,"12_1",-15.5,55.5
"12",2,"12_2",-15.5,55.525
"12",3,"12_3",-15.5,55.534
"12",4,"12_4",-15.503,55.53
"12",5,"12_5",-15.504,55.529
"12",6,"12_6",-15.506,55.526
"12",7,"12_7",-15.507,55.525
"12",8,"12_8",-15.516,55.514
"12",9,"12_9",-15.517,55.512
"12",10,"12_10",-15.519,55.51
"12",11,"12_11",-15.52,55.508
"12",12,"12_12",-15.524,55.503
"12",13,"12_13",-15.525,55.502
"12",14,"12_14",-15.526,55.5
"12",15,"12_15",-15.526,55.5
"12",16,"12_16",-15.5,55.5
"13",1,"13_1",-2.15,44.775
"13",2,"13_2",-2.125,44.775
"13",3,"13_3",-2.125,44.8
"13",4,"13_4",-2.125,44.825
"13",5,"13_5",-2.125,44.85
"13",6,"13_6",-2.125,44.875
"13",7,"13_7",-2.15,44.875
"13",8,"13_8",-2.175,44.875
"13",9,"13_9",-2.2,44.875
"13",10,"13_10",-2.225,44.875
"13",11,"13_11",-2.25,44.875
"13",12,"13_12",-2.275,44.875
"13",13,"13_13",-2.275,44.85
"13",14,"13_14",-2.25,44.85
"13",15,"13_15",-2.25,44.8
"13",16,"13_16",-2.2,44.8
"13",17,"13_17",-2.15,44.8
"13",18,"13_18",-2.15,44.775
"14",1,"14_1",-2,43.875
"14",2,"14_2",-2,43.875
"14",3,"14_3",-2.025,43.875
"14",4,"14_4",-2.025,43.85
"14",5,"14_5",-2.025,43.825
"14",6,"14_6",-2.025,43.8
"14",7,"14_7",-2.025,43.775
"14",8,"14_8",-2,43.775
"14",9,"14_9",-2,43.8
"14",10,"14_10",-2,43.85
"14",11,"14_11",-2,43.875
"15",1,"15_1",-2.25,44.275
"15",2,"15_2",-2.225,44.275
"15",3,"15_3",-2.2,44.275
"15",4,"15_4",-2.175,44.275
"15",5,"15_5",-2.175,44.3
"15",6,"15_6",-2.175,44.325
"15",7,"15_7",-2.175,44.35
"15",8,"15_8",-2.175,44.375
"15",9,"15_9",-2.2,44.375
"15",10,"15_10",-2.225,44.375
"15",11,"15_11",-2.25,44.375
"15",12,"15_12",-2.25,44.35
"15",13,"15_13",-2.25,44.3
"15",14,"15_14",-2.25,44.275
"16",1,"16_1",-2.15,43.725
"16",2,"16_2",-2.15,43.725
"16",3,"16_3",-2.125,43.725
"16",4,"16_4",-2.1,43.725
"16",5,"16_5",-2.075,43.725
"16",6,"16_6",-2.075,43.75
"16",7,"16_7",-2.075,43.775
"16",8,"16_8",-2.075,43.8
"16",9,"16_9",-2.075,43.825
"16",10,"16_10",-2.1,43.825
"16",11,"16_11",-2.125,43.825
"16",12,"16_12",-2.15,43.825
"16",13,"16_13",-2.175,43.825
"16",14,"16_14",-2.175,43.8
"16",15,"16_15",-2.175,43.775
"16",16,"16_16",-2.175,43.75
"16",17,"16_17",-2.15,43.75
"16",18,"16_18",-2.15,43.725
"17",1,"17_1",-2.825,45.05
"17",2,"17_2",-2.825,45.075
"17",3,"17_3",-2.825,45.1
"17",4,"17_4",-2.825,45.125
"17",5,"17_5",-2.85,45.125
"17",6,"17_6",-2.875,45.125
"17",7,"17_7",-2.9,45.125
"17",8,"17_8",-2.925,45.125
"17",9,"17_9",-2.925,45.1
"17",10,"17_10",-2.925,45.075
"17",11,"17_11",-2.925,45.05
"17",12,"17_12",-2.9,45.05
"17",13,"17_13",-2.85,45.05
"17",14,"17_14",-2.825,45.05
"18",1,"18_1",-2.625,43.55
"18",2,"18_2",-2.625,43.575
"18",3,"18_3",-2.625,43.6
"18",4,"18_4",-2.625,43.625
"18",5,"18_5",-2.65,43.625
"18",6,"18_6",-2.675,43.625
"18",7,"18_7",-2.7,43.625
"18",8,"18_8",-2.725,43.625
"18",9,"18_9",-2.725,43.6
"18",10,"18_10",-2.725,43.575
"18",11,"18_11",-2.75,43.575
"18",12,"18_12",-2.775,43.575
"18",13,"18_13",-2.8,43.575
"18",14,"18_14",-2.825,43.575
"18",15,"18_15",-2.85,43.575
"18",16,"18_16",-2.875,43.575
"18",17,"18_17",-2.9,43.575
"18",18,"18_18",-2.925,43.575
"18",19,"18_19",-2.95,43.575
"18",20,"18_20",-2.975,43.575
"18",21,"18_21",-2.975,43.55
"18",22,"18_22",-2.95,43.55
"18",23,"18_23",-2.9,43.55
"18",24,"18_24",-2.85,43.55
"18",25,"18_25",-2.8,43.55
"18",26,"18_26",-2.75,43.55
"18",27,"18_27",-2.75,43.5
"18",28,"18_28",-2.725,43.5
"18",29,"18_29",-2.725,43.525
"18",30,"18_30",-2.7,43.525
"18",31,"18_31",-2.7,43.525
"18",32,"18_32",-2.7,43.55
"18",33,"18_33",-2.65,43.55
"18",34,"18_34",-2.625,43.55
"19",1,"19_1",-3.6,45.625
"19",2,"19_2",-3.575,45.625
"19",3,"19_3",-3.575,45.6
"19",4,"19_4",-3.575,45.575
"19",5,"19_5",-3.55,45.575
"19",6,"19_6",-3.525,45.575
"19",7,"19_7",-3.5,45.575
"19",8,"19_8",-3.475,45.575
"19",9,"19_9",-3.475,45.6
"19",10,"19_10",-3.475,45.625
"19",11,"19_11",-3.475,45.65
"19",12,"19_12",-3.475,45.65
"19",13,"19_13",-3.5,45.65
"19",14,"19_14",-3.5,45.675
"19",15,"19_15",-3.525,45.675
"19",16,"19_16",-3.55,45.675
"19",17,"19_17",-3.575,45.675
"19",18,"19_18",-3.575,45.7
"19",19,"19_19",-3.575,45.725
"19",20,"19_20",-3.6,45.725
"19",21,"19_21",-3.625,45.725
"19",22,"19_22",-3.65,45.725
"19",23,"19_23",-3.675,45.725
"19",24,"19_24",-3.675,45.7
"19",25,"19_25",-3.675,45.675
"19",26,"19_26",-3.675,45.65
"19",27,"19_27",-3.65,45.65
"19",28,"19_28",-3.6,45.65
"19",29,"19_29",-3.6,45.625
"20",1,"20_1",-3.025,43.6
"20",2,"20_2",-3.025,43.625
"20",3,"20_3",-3.05,43.625
"20",4,"20_4",-3.075,43.625
"20",5,"20_5",-3.1,43.625
"20",6,"20_6",-3.125,43.625
"20",7,"20_7",-3.125,43.6
"20",8,"20_8",-3.125,43.575
"20",9,"20_9",-3.125,43.55
"20",10,"20_10",-3.1,43.55
"20",11,"20_11",-3.05,43.55
"20",12,"20_12",-3.05,43.6
"20",13,"20_13",-3.025,43.6
"21",1,"21_1",-3.175,43.55
"21",2,"21_2",-3.175,43.575
"21",3,"21_3",-3.2,43.575
"21",4,"21_4",-3.225,43.575
"21",5,"21_5",-3.225,43.6
"21",6,"21_6",-3.225,43.625
"21",7,"21_7",-3.25,43.625
"21",8,"21_8",-3.275,43.625
"21",9,"21_9",-3.3,43.625
"21",10,"21_10",-3.325,43.625
"21",11,"21_11",-3.35,43.625
"21",12,"21_12",-3.375,43.625
"21",13,"21_13",-3.375,43.6
"21",14,"21_14",-3.375,43.575
"21",15,"21_15",-3.375,43.55
"21",16,"21_16",-3.35,43.55
"21",17,"21_17",-3.3,43.55
"21",18,"21_18",-3.25,43.55
"21",19,"21_19",-3.2,43.55
"21",20,"21_20",-3.175,43.55
"22",1,"22_1",-3.8,45.725
"22",2,"22_2",-3.775,45.725
"22",3,"22_3",-3.75,45.725
"22",4,"22_4",-3.725,45.725
"22",5,"22_5",-3.725,45.75
"22",6,"22_6",-3.725,45.775
"22",7,"22_7",-3.725,45.8
"22",8,"22_8",-3.725,45.8
"22",9,"22_9",-3.75,45.8
"22",10,"22_10",-3.75,45.825
"22",11,"22_11",-3.775,45.825
"22",12,"22_12",-3.8,45.825
"22",13,"22_13",-3.825,45.825
"22",14,"22_14",-3.825,45.8
"22",15,"22_15",-3.825,45.775
"22",16,"22_16",-3.825,45.75
"22",17,"22_17",-3.8,45.75
"22",18,"22_18",-3.8,45.725
"23",1,"23_1",-4.075,46
"23",2,"23_2",-4.075,46.025
"23",3,"23_3",-4.1,46.025
"23",4,"23_4",-4.125,46.025
"23",5,"23_5",-4.15,46.025
"23",6,"23_6",-4.175,46.025
"23",7,"23_7",-4.2,46.025
"23",8,"23_8",-4.2,46
"23",9,"23_9",-4.15,46
"23",10,"23_10",-4.1,46
"23",11,"23_11",-4.075,46
"24",1,"24_1",-4.35,46.175
"24",2,"24_2",-4.35,46.175
"24",3,"24_3",-4.325,46.175
"24",4,"24_4",-4.3,46.175
"24",5,"24_5",-4.275,46.175
"24",6,"24_6",-4.275,46.2
"24",7,"24_7",-4.275,46.225
"24",8,"24_8",-4.275,46.25
"24",9,"24_9",-4.275,46.275
"24",10,"24_10",-4.3,46.275
"24",11,"24_11",-4.325,46.275
"24",12,"24_12",-4.35,46.275
"24",13,"24_13",-4.375,46.275
"24",14,"24_14",-4.375,46.3
"24",15,"24_15",-4.375,46.325
"24",16,"24_16",-4.4,46.325
"24",17,"24_17",-4.425,46.325
"24",18,"24_18",-4.45,46.325
"24",19,"24_19",-4.475,46.325
"24",20,"24_20",-4.475,46.3
"24",21,"24_21",-4.475,46.275
"24",22,"24_22",-4.475,46.25
"24",23,"24_23",-4.45,46.25
"24",24,"24_24",-4.4,46.25
"24",25,"24_25",-4.35,46.25
"24",26,"24_26",-4.35,46.2
"24",27,"24_27",-4.35,46.175
"25",1,"25_1",-3.875,43.7
"25",2,"25_2",-3.875,43.7
"25",3,"25_3",-3.875,43.675
"25",4,"25_4",-3.875,43.65
"25",5,"25_5",-3.875,43.625
"25",6,"25_6",-3.9,43.625
"25",7,"25_7",-3.925,43.625
"25",8,"25_8",-3.925,43.6
"25",9,"25_9",-3.925,43.575
"25",10,"25_10",-3.925,43.55
"25",11,"25_11",-3.9,43.55
"25",12,"25_12",-3.9,43.6
"25",13,"25_13",-3.85,43.6
"25",14,"25_14",-3.8,43.6
"25",15,"25_15",-3.8,43.65
"25",16,"25_16",-3.75,43.65
"25",17,"25_17",-3.725,43.65
"25",18,"25_18",-3.725,43.675
"25",19,"25_19",-3.725,43.7
"25",20,"25_20",-3.725,43.725
"25",21,"25_21",-3.75,43.725
"25",22,"25_22",-3.775,43.725
"25",23,"25_23",-3.8,43.725
"25",24,"25_24",-3.825,43.725
